,symboling,wheel-base,length,width,height,curb-weight,engine-size,compression-ratio,city-mpg,highway-mpg
symboling,1.0,-0.5319536816234925,-0.35761152261729123,-0.23291906097426712,-0.5410381997685207,-0.2276905884774526,-0.10578970928966426,-0.17851508438647604,-0.03582262794554099,0.034606000711919854
wheel-base,-0.5319536816234925,1.0,0.874587475964264,0.795143643616968,0.5894347616933517,0.7763863277822105,0.5693286815396968,0.24978584518743374,-0.47041361340548293,-0.544081923408828
length,-0.35761152261729123,0.874587475964264,1.0,0.8411182684818453,0.4910294575042151,0.8777284608306433,0.6833598726519026,0.15841370644020683,-0.6709086615585719,-0.7046616035425505
width,-0.23291906097426712,0.795143643616968,0.8411182684818453,1.0,0.27921032110974997,0.8670324646791233,0.7354334047796364,0.1811286267707973,-0.6427043407108963,-0.677217917311713
height,-0.5410381997685207,0.5894347616933517,0.4910294575042151,0.27921032110974997,1.0,0.29557172619485034,0.06714874180270604,0.2612142263199395,-0.04863962869509337,-0.10735762697679854
curb-weight,-0.2276905884774526,0.7763863277822105,0.8777284608306433,0.8670324646791233,0.29557172619485034,1.0,0.850594073426277,0.15136174003093056,-0.757413784505601,-0.7974647922811803
engine-size,-0.10578970928966426,0.5693286815396968,0.6833598726519026,0.7354334047796364,0.06714874180270604,0.850594073426277,1.0,0.028971359704083287,-0.6536579163114195,-0.6774699078386522
compression-ratio,-0.17851508438647604,0.24978584518743374,0.15841370644020683,0.1811286267707973,0.2612142263199395,0.15136174003093056,0.028971359704083287,1.0,0.32470142452073303,0.2652013891633968
city-mpg,-0.03582262794554099,-0.47041361340548293,-0.6709086615585719,-0.6427043407108963,-0.04863962869509337,-0.757413784505601,-0.6536579163114195,0.32470142452073303,1.0,0.9713370423425045
highway-mpg,0.034606000711919854,-0.544081923408828,-0.7046616035425505,-0.677217917311713,-0.10735762697679854,-0.7974647922811803,-0.6774699078386522,0.2652013891633968,0.9713370423425045,1.0
