,Density,BodyFat,Age,Weight,Height,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist
Density,1.0,-0.9877824021639853,-0.27763721075010184,-0.5940618756988718,0.09788114294593472,-0.472966361798773,-0.6825986513963742,-0.7989546315453336,-0.6093314301876909,-0.5530909789787435,-0.49504035298897814,-0.2648900333564045,-0.4871087232659655,-0.351648418133115,-0.32571598102047367
BodyFat,-0.9877824021639853,1.0,0.29145844013522204,0.6124140022026467,-0.08949537985440129,0.4905918534410396,0.7026203388938641,0.813432284781049,0.6252009175086624,0.5596075319940894,0.5086652428854677,0.265969770306373,0.49327112589161554,0.3613869031997192,0.34657486452658576
Age,-0.27763721075010184,0.29145844013522204,1.0,-0.012746094264504038,-0.17164513879282095,0.11350518661684697,0.17644967530333117,0.23040941555317776,-0.050332119975513026,-0.2000957570828001,0.01751568662282833,-0.10505810422885643,-0.04116211973246891,-0.08505555152545077,0.21353061527456857
Weight,-0.5940618756988718,0.6124140022026467,-0.012746094264504038,1.0,0.30827854004401256,0.8307162176735607,0.8941905159224649,0.887994941297629,0.9408841249190423,0.868693536944027,0.8531673850119738,0.613685420725825,0.8004159331069843,0.6303014334620579,0.7297748935252979
Height,0.09788114294593472,-0.08949537985440129,-0.17164513879282095,0.30827854004401256,1.0,0.2537098824260705,0.13489181358776633,0.0878129102642325,0.17039426213482148,0.1484356070027936,0.28605321042837906,0.2647436930784859,0.20781557024259564,0.22864922006972632,0.3220653270386138
Neck,-0.472966361798773,0.4905918534410396,0.11350518661684697,0.8307162176735607,0.2537098824260705,1.0,0.7848350458459071,0.7540773654798041,0.7349578775541686,0.6956973379567927,0.6724049784900363,0.47789242416702876,0.731145920125161,0.6236602668190352,0.7448263991788284
Chest,-0.6825986513963742,0.7026203388938641,0.17644967530333117,0.8941905159224649,0.13489181358776633,0.7848350458459071,1.0,0.9158276698546787,0.829419918799915,0.7298585515143222,0.7194963963098884,0.48298788775670554,0.7279074811139793,0.5801727307961887,0.6601623229770233
Abdomen,-0.7989546315453336,0.813432284781049,0.23040941555317776,0.887994941297629,0.0878129102642325,0.7540773654798041,0.9158276698546787,1.0,0.8740661806472729,0.7666239268276248,0.7371788792286479,0.4532226926587151,0.6849827160765339,0.5033160865232174,0.6198324279739743
Hip,-0.6093314301876909,0.6252009175086624,-0.050332119975513026,0.9408841249190423,0.17039426213482148,0.7349578775541686,0.829419918799915,0.8740661806472729,1.0,0.8964097945175489,0.8234726206359504,0.5583868210351375,0.739272515607043,0.5450141195119115,0.630089543919301
Thigh,-0.5530909789787435,0.5596075319940894,-0.2000957570828001,0.868693536944027,0.1484356070027936,0.6956973379567927,0.7298585515143222,0.7666239268276248,0.8964097945175489,1.0,0.799170304336277,0.5397970517118149,0.7614774465181945,0.5668421789987411,0.5586847800546543
Knee,-0.49504035298897814,0.5086652428854677,0.01751568662282833,0.8531673850119738,0.28605321042837906,0.6724049784900363,0.7194963963098884,0.7371788792286479,0.8234726206359504,0.799170304336277,1.0,0.6116082012355882,0.6787088330282874,0.5558981908951534,0.6645072871106079
Ankle,-0.2648900333564045,0.265969770306373,-0.10505810422885643,0.613685420725825,0.2647436930784859,0.47789242416702876,0.48298788775670554,0.4532226926587151,0.5583868210351375,0.5397970517118149,0.6116082012355882,1.0,0.4848545415944532,0.4190499906075774,0.566194591705335
Biceps,-0.4871087232659655,0.49327112589161554,-0.04116211973246891,0.8004159331069843,0.20781557024259564,0.731145920125161,0.7279074811139793,0.6849827160765339,0.739272515607043,0.7614774465181945,0.6787088330282874,0.4848545415944532,1.0,0.6782551306850684,0.6321264233196812
Forearm,-0.351648418133115,0.3613869031997192,-0.08505555152545077,0.6303014334620579,0.22864922006972632,0.6236602668190352,0.5801727307961887,0.5033160865232174,0.5450141195119115,0.5668421789987411,0.5558981908951534,0.4190499906075774,0.6782551306850684,1.0,0.5855882505398675
Wrist,-0.32571598102047367,0.34657486452658576,0.21353061527456857,0.7297748935252979,0.3220653270386138,0.7448263991788284,0.6601623229770233,0.6198324279739743,0.630089543919301,0.5586847800546543,0.6645072871106079,0.566194591705335,0.6321264233196812,0.5855882505398675,1.0
